Player,Role,Amount,Team,Year,Player Origin,Mega?
Jayant Yadav,All-Rounder,1.7,Gujarat Titans,2022,Indian,1
Jaydev Shah,All-Rounder,0.2,Gujarat Lions,2016,Indian,0
Jaydev Unadkat,Bowler,3.9375,Royal Challengers Bangalore,2013,Indian,0
Jaydev Unadkat,Bowler,2.8,Delhi Daredevils,2014,Indian,1
Jaydev Unadkat,Bowler,1.1,Delhi Daredevils,2015,Indian,0
Jaydev Unadkat,Bowler,1.6,Kolkata Knight Riders,2016,Indian,0
Jaydev Unadkat,Bowler,0.3,Rising Pune Supergiant,2017,Indian,0
Jaydev Unadkat,Bowler,11.5,Rajasthan Royals,2018,Indian,1
Jaydev Unadkat,Bowler,8.4,Rajasthan Royals,2019,Indian,0
Jaydev Unadkat,Bowler,3,Rajasthan Royals,2020,Indian,0
Jaydev Unadkat,Bowler,1.3,Mumbai Indians,2022,Indian,1
Jean-Paul Duminy,Batsman,2.2,Delhi Daredevils,2014,Overseas,1
Jean-Paul Duminy,All-Rounder,1,Mumbai Indians,2018,Overseas,1
Jeevan Mendis,All-Rounder,0.375,Delhi Daredevils,2013,Overseas,0
Jesse Ryder,All-Rounder,1.95,Delhi Daredevils,2013,Overseas,0
Jhye Richardson,Bowler,14,Punjab Kings,2021,Overseas,0
Jitesh Sharma,Wicket Keeper,0.1,Mumbai Indians,2016,Indian,0
Jitesh Sharma,Wicket Keeper,0.2,Punjab Kings,2022,Indian,1
Joe Denly,Batsman,1,Kolkata Knight Riders,2019,Overseas,0
Joel Paris,Bowler,0.3,Delhi Daredevils,2016,Overseas,0
Jofra Archer,All-Rounder,7.2,Rajasthan Royals,2018,Overseas,1
Jofra Archer,All-Rounder,8,Mumbai Indians,2022,Overseas,1
Johan Botha,All-Rounder,3.375,Delhi Daredevils,2013,Overseas,0
John Hastings,All-Rounder,0.5,Chennai Super Kings,2014,Overseas,1
John Hastings,Bowler,1.3,Kolkata Knight Riders,2016,Overseas,0
Jonny Bairstow,Wicket Keeper,2.2,Sunrisers Hyderabad,2019,Overseas,0
Jonny Bairstow,Wicket Keeper,6.75,Punjab Kings,2022,Overseas,1
Jos Buttler,Wicket Keeper,3.8,Mumbai Indians,2016,Overseas,0
Jos Buttler,Wicket Keeper,4.4,Rajasthan Royals,2018,Overseas,1
Josh Hazlewood,Bowler,0.5,Mumbai Indians,2014,Overseas,1
Josh Hazlewood,Bowler,2,Chennai Super Kings,2020,Overseas,0
Josh Hazlewood,Bowler,7.75,Royal Challengers Bangalore,2022,Overseas,1
Joshua Philippe,Wicket Keeper,0.2,Royal Challengers Bangalore,2020,Overseas,0
Juan Theron,Bowler,0.3,Rajasthan Royals,2015,Overseas,0
Krishnappa Gowtham,All-Rounder,0.9,Lucknow Super Giants,2022,Indian,1
K.Bhagath Varma,All-Rounder,0.2,Chennai Super Kings,2021,Indian,0
K.Bhagath Varma,All-Rounder,0.2,Chennai Super Kings,2022,Indian,1
K.C Cariappa,Bowler,0.2,Rajasthan Royals,2021,Indian,0
K.C Cariappa,Bowler,0.3,Rajasthan Royals,2022,Indian,1
K.C. Cariappa,Bowler,2.4,Kolkata Knight Riders,2015,Indian,0
K.C. Cariappa,Bowler,0.8,Kings XI Punjab,2016,Indian,0
K.K. Jiyaz,Bowler,0.1,Delhi Daredevils,2015,Indian,0
K.M. Asif,Bowler,0.2,Chennai Super Kings,2022,Indian,1
K.S. Bharat,Wicket Keeper,2,Delhi Capitals,2022,Indian,1
Kagiso Rabada,Bowler,5,Delhi Daredevils,2017,Overseas,0
Kagiso Rabada,Bowler,4.2,Delhi Daredevils,2018,Overseas,1
Kagiso Rabada,Bowler,9.25,Punjab Kings,2022,Overseas,1
Kamlesh Nagarkoti,All-Rounder,3.2,Kolkata Knight Riders,2018,Indian,1
Kamlesh Nagarkoti,All-Rounder,1.1,Delhi Capitals,2022,Indian,1
Kane Richardson,Bowler,5.25,Pune Warriors India,2013,Overseas,0
Kane Richardson,Bowler,1,Rajasthan Royals,2014,Overseas,1
Kane Richardson,Bowler,2,Royal Challengers Bangalore,2016,Overseas,0
Kane Richardson,Bowler,4,Royal Challengers Bangalore,2020,Overseas,0
Kane Williamson,All-Rounder,0.6,Sunrisers Hyderabad,2015,Overseas,0
Kane Williamson,Batsman,3,Sunrisers Hyderabad,2018,Overseas,1
Kanishk Seth,All-Rounder,0.2,Chennai Super Kings,2018,Indian,1
Karan Sharma,All-Rounder,0.2,Lucknow Super Giants,2022,Indian,1
Karanveer Singh,All-Rounder,0.1,Kings XI Punjab,2014,Indian,1
Karn Sharma,Bowler,3.75,Sunrisers Hyderabad,2014,Indian,1
Karn Sharma,All-Rounder,3.2,Mumbai Indians,2017,Indian,0
Karn Sharma,Bowler,5,Chennai Super Kings,2018,Indian,1
Karn Sharma,Bowler,0.5,Royal Challengers Bangalore,2022,Indian,1
Kartik Tyagi,Bowler,1.3,Rajasthan Royals,2020,Indian,0
Kartik Tyagi,Bowler,4,Sunrisers Hyderabad,2022,Indian,1
Karun Nair,Batsman,0.75,Rajasthan Royals,2014,Indian,1
Karun Nair,Batsman,4,Delhi Daredevils,2016,Indian,0
Karun Nair,Batsman,5.6,Kings XI Punjab,2018,Indian,1
Karun Nair,Batsman,0.5,Kolkata Knight Riders,2021,Indian,0
Karun Nair,Batsman,1.4,Rajasthan Royals,2022,Indian,1
Kedar Jadhav,Batsman,2,Delhi Daredevils,2014,Indian,1
Kedar Jadhav,All-Rounder,7.8,Chennai Super Kings,2018,Indian,1
Kedar Jadhav,All-Rounder,2,Sunrisers Hyderabad,2021,Indian,0
Keemo Paul,All-Rounder,0.5,Delhi Capitals,2019,Overseas,0
Kevin Pietersen,Batsman,9,Delhi Daredevils,2014,Overseas,1
Kevin Pietersen,Batsman,2,Sunrisers Hyderabad,2015,Overseas,0
Kevin Pietersen,Batsman,3.5,Rising Pune Supergiant,2016,Overseas,0
Kevon Cooper,All-Rounder,0.3,Rajasthan Royals,2014,Overseas,1
Kieron Pollard,All-Rounder,5.4,Mumbai Indians,2018,Overseas,1
Kishore Pramod Kamath,All-Rounder,1.4,Mumbai Indians,2016,Indian,0
KL Rahul,Batsman,1,Sunrisers Hyderabad,2014,Indian,1
KL Rahul,Batsman,11,Kings XI Punjab,2018,Indian,1
Kona Srikar Bharat,Wicket Keeper,0.1,Delhi Daredevils,2015,Indian,0
Kona Srikar Bharat,Wicket Keeper,0.2,Royal Challengers Bangalore,2021,Indian,0
Krishnappa Gowtham,All-Rounder,2,Mumbai Indians,2017,Indian,0
Krishnappa Gowtham,Bowler,6.2,Rajasthan Royals,2018,Indian,1
Krishnappa Gowtham,All-Rounder,9.25,Chennai Super Kings,2021,Indian,0
Krismar Santokie,Bowler,0.3,Mumbai Indians,2014,Overseas,1
Krunal Pandya,All-Rounder,2,Mumbai Indians,2016,Indian,0
Krunal Pandya,All-Rounder,8.8,Mumbai Indians,2018,Indian,1
Krunal Pandya,All-Rounder,8.25,Lucknow Super Giants,2022,Indian,1
Kshitiz Sharma,All-Rounder,0.2,Chennai Super Kings,2018,Indian,1
Kuldeep Sen,Bowler,0.2,Rajasthan Royals,2022,Indian,1
Kuldeep Yadav,Bowler,0.4,Kolkata Knight Riders,2014,Indian,1
Kuldeep Yadav,Bowler,5.8,Kolkata Knight Riders,2018,Indian,1
Kuldeep Yadav,Bowler,2,Delhi Capitals,2022,Indian,1
Kuldip Yadav,Bowler,0.2,Rajasthan Royals,2021,Indian,0
Kuldip Yadav,Bowler,0.2,Rajasthan Royals,2022,Indian,1
Kulwant Khejroliya,Bowler,0.1,Mumbai Indians,2017,Indian,0
Kulwant Khejroliya,Bowler,0.85,Royal Challengers Bangalore,2018,Indian,1
Kusal Janith Perera,Wicket Keeper,0.15,Rajasthan Royals,2013,Indian,0
Kyle Abbott,Bowler,0.3,Chennai Super Kings,2015,Overseas,0
Kyle Abbott,Bowler,2.1,Kings XI Punjab,2016,Overseas,0
Kyle Jamieson,All-Rounder,15,Royal Challengers Bangalore,2021,Overseas,0
Kyle Mayers,All-Rounder,0.5,Lucknow Super Giants,2022,Overseas,1
Lakshmipathy Balaji,Bowler,1.8,Kings XI Punjab,2014,Indian,1
Lalit Yadav,All-Rounder,0.2,Delhi Capitals,2020,Indian,0
Lalit Yadav,All-Rounder,0.65,Delhi Capitals,2022,Indian,1
Lasith Malinga,Bowler,2,Mumbai Indians,2019,Overseas,0
Laxmi Ratan Shukla,All-Rounder,1.5,Delhi Daredevils,2014,Indian,1
Laxmi Ratan Shukla,All-Rounder,0.3,Sunrisers Hyderabad,2015,Indian,0
Liam Livingstone,All-Rounder,0.5,Rajasthan Royals,2019,Overseas,0
Liam Livingstone,All-Rounder,0.75,Rajasthan Royals,2021,Overseas,0
Liam Livingstone,All-Rounder,11.5,Punjab Kings,2022,Overseas,1
Lockie Ferguson,Bowler,0.5,Rising Pune Supergiant,2017,Overseas,0
Lockie Ferguson,Bowler,1.6,Kolkata Knight Riders,2019,Overseas,0
Lockie Ferguson,Bowler,10,Gujarat Titans,2022,Overseas,1
Luke Pomersbach,Batsman,2.25,Kings XI Punjab,2013,Overseas,0
Lukman Hussain Meriwala,Bowler,0.2,Delhi Capitals,2021,Indian,0
Lungisani Ngidi,Bowler,0.5,Chennai Super Kings,2018,Overseas,1
Lungisani Ngidi,Bowler,0.5,Delhi Capitals,2022,Overseas,1
Luvnith Sisodia,Wicket Keeper,0.2,Royal Challengers Bangalore,2022,Indian,1
M Siddharth,Bowler,0.2,Kolkata Knight Riders,2020,Indian,0
M Siddharth,Bowler,0.2,Delhi Capitals,2021,Indian,0
M. Ashwin,Bowler,4.5,Rising Pune Supergiant,2016,Indian,0
M. Ashwin,Bowler,1,Delhi Daredevils,2017,Indian,0
M. Ashwin,Bowler,2.2,Royal Challengers Bangalore,2018,Indian,1
M. Ashwin,Bowler,0.2,Kings XI Punjab,2019,Indian,0
M. Harisankar Reddy,Bowler,0.2,Chennai Super Kings,2021,Indian,0
Washington Sundar,All-Rounder,3.2,Royal Challengers Bangalore,2018,Indian,1
Maheesh Theekshana,Bowler,0.7,Chennai Super Kings,2022,Overseas,1
Mahipal Lomror,All-Rounder,0.1,Delhi Daredevils,2016,Indian,0
Mahipal Lomror,All-Rounder,0.2,Rajasthan Royals,2018,Indian,1
Mahipal Lomror,All-Rounder,0.95,Royal Challengers Bangalore,2022,Indian,1
Manan Ajay Sharma,All-Rounder,0.1,Kolkata Knight Riders,2016,Indian,0
Manan Vohra,Batsman,1.1,Royal Challengers Bangalore,2018,Indian,1
Manan Vohra,Batsman,0.2,Rajasthan Royals,2019,Indian,0
Manan Vohra,Batsman,0.2,Lucknow Super Giants,2022,Indian,1
Mandeep Hardev Singh,All-Rounder,0.8,Kings XI Punjab,2014,Indian,1
Mandeep Singh,All-Rounder,1.4,Royal Challengers Bangalore,2018,Indian,1
Mandeep Singh,Batsman,1.1,Delhi Capitals,2022,Indian,1
Manish Pandey,Batsman,1.7,Kolkata Knight Riders,2014,Indian,1
Manish Pandey,Batsman,11,Sunrisers Hyderabad,2018,Indian,1
Manish Pandey,Batsman,4.6,Lucknow Super Giants,2022,Indian,1
Manjot Kalra,Batsman,0.2,Delhi Daredevils,2018,Indian,1
Manoj Tiwary,Batsman,2.8,Delhi Daredevils,2014,Indian,1
Manoj Tiwary,Batsman,0.5,Rising Pune Supergiant,2017,Indian,0
Manoj Tiwary,Batsman,1,Kings XI Punjab,2018,Indian,1
Manpreet Gony,Bowler,3.75,Kings XI Punjab,2013,Indian,0
Manpreet Gony,Bowler,0.6,Gujarat Lions,2017,Indian,0
Manprit Juneja,Batsman,0.1,Sunrisers Hyderabad,2014,Indian,1
Manvinder Bisla,Wicket Keeper,0.6,Kolkata Knight Riders,2014,Indian,1
Manzoor Dar,All-Rounder,0.2,Kings XI Punjab,2018,Indian,1
Marchant De Lange,Bowler,0.3,Mumbai Indians,2014,Overseas,1
Marco Jansen,All-Rounder,0.2,Mumbai Indians,2021,Overseas,0
Marco Jansen,All-Rounder,4.2,Sunrisers Hyderabad,2022,Overseas,1
Marcus Stoinis,All-Rounder,0.25,Delhi Daredevils,2015,Overseas,0
Marcus Stoinis,All-Rounder,0.55,Kings XI Punjab,2016,Overseas,0
Marcus Stoinis,All-Rounder,6.2,Kings XI Punjab,2018,Overseas,1
Marcus Stoinis,All-Rounder,4.8,Delhi Capitals,2020,Overseas,0
Mark Wood,Bowler,1.5,Chennai Super Kings,2018,Overseas,1
Mark Wood,Bowler,7.5,Lucknow Super Giants,2022,Overseas,1
Martin Guptill,Batsman,0.5,Kings XI Punjab,2017,Overseas,0
Martin Guptill,Batsman,1,Sunrisers Hyderabad,2019,Overseas,0
Matt Henry,Bowler,0.3,Chennai Super Kings,2014,Overseas,1
Matt Henry,Bowler,0.5,Kings XI Punjab,2017,Overseas,0
Matthew Wade,Wicket Keeper,2.4,Gujarat Titans,2022,Overseas,1
Mayank Agarwal,Batsman,1.6,Delhi Daredevils,2014,Indian,1
Mayank Agarwal,Batsman,1,Kings XI Punjab,2018,Indian,1
Mayank Dagar,All-Rounder,0.2,Kings XI Punjab,2018,Indian,1
Mayank Markande,Bowler,0.2,Mumbai Indians,2018,Indian,1
Mayank Markande,Bowler,0.65,Mumbai Indians,2022,Indian,1
Mayank Yadav,Bowler,0.2,Lucknow Super Giants,2022,Indian,1
Michael Clarke,Batsman,3,Pune Warriors India,2013,Overseas,0
Michael Hussey,Batsman,5,Mumbai Indians,2014,Overseas,1
Michael Hussey,Batsman,1.5,Chennai Super Kings,2015,Overseas,0
Midhun S,All-Rounder,0.2,Rajasthan Royals,2018,Indian,1
Milind Kumar,Batsman,0.1,Delhi Daredevils,2014,Indian,1
Milind Kumar,All-Rounder,0.2,Royal Challengers Bangalore,2019,Indian,0
Milind Tandon,All-Rounder,0.1,Rising Pune Supergiant,2017,Indian,0
Mitchell Johnson,All-Rounder,6.5,Kings XI Punjab,2014,Overseas,1
Mitchell Johnson,Bowler,2,Mumbai Indians,2017,Overseas,0
Mitchell Johnson,Bowler,2,Kolkata Knight Riders,2018,Overseas,1
Mitchell Marsh,All-Rounder,4.8,Rising Pune Supergiant,2016,Overseas,0
Mitchell Marsh,All-Rounder,2,Sunrisers Hyderabad,2020,Overseas,0
Mitchell Marsh,All-Rounder,6.5,Delhi Capitals,2022,Overseas,1
Mitchell McClenaghan,Bowler,0.3,Mumbai Indians,2015,Overseas,0
Mitchell Santner,All-Rounder,0.5,Chennai Super Kings,2018,Overseas,1
Mitchell Santner,All-Rounder,1.9,Chennai Super Kings,2022,Overseas,1
Mitchell Starc,Bowler,5,Royal Challengers Bangalore,2014,Overseas,1
Mitchell Starc,Bowler,9.4,Kolkata Knight Riders,2018,Overseas,1
Mithun Manhas,All-Rounder,0.3,Chennai Super Kings,2014,Indian,1
Moeen Ali,All-Rounder,1.7,Royal Challengers Bangalore,2018,Overseas,1
Moeen Ali,All-Rounder,7,Chennai Super Kings,2021,Overseas,0
Mohammad Nabi,All-Rounder,0.3,Sunrisers Hyderabad,2017,Overseas,0
Mohammad Nabi,All-Rounder,1,Sunrisers Hyderabad,2018,Overseas,1
Mohammad Nabi,All-Rounder,1,Kolkata Knight Riders,2022,Overseas,1
Mohammad Shami,Bowler,4.25,Delhi Daredevils,2014,Indian,1
Mohammad Shami,Bowler,3,Delhi Daredevils,2018,Indian,1
Mohammad Shami,Bowler,4.8,Kings XI Punjab,2019,Indian,0
Mohammad Shami,Bowler,6.25,Gujarat Titans,2022,Indian,1
Mohammed Azharudeen,Wicket Keeper,0.2,Royal Challengers Bangalore,2021,Indian,0
Mohammed Siraj,Bowler,2.6,Sunrisers Hyderabad,2017,Indian,0
Mohammed Siraj,Bowler,2.6,Royal Challengers Bangalore,2018,Indian,1
Mohd. Arshad Khan,All-Rounder,0.2,Mumbai Indians,2022,Indian,1
Mohit Sharma,Bowler,2,Chennai Super Kings,2014,Indian,1
Mohit Sharma,Bowler,6.5,Kings XI Punjab,2016,Indian,0
Mohit Sharma,Bowler,2.4,Kings XI Punjab,2018,Indian,1
Mohit Sharma,Bowler,5,Chennai Super Kings,2019,Indian,0
Mohit Sharma,Bowler,0.5,Delhi Capitals,2020,Indian,0
Mohsin Khan,Bowler,0.2,Mumbai Indians,2018,Indian,1
Mohsin Khan,Bowler,0.2,Mumbai Indians,2020,Indian,0
Mohsin Khan,Bowler,0.2,Lucknow Super Giants,2022,Indian,1
Moises Henriques,All-Rounder,2.25,Royal Challengers Bangalore,2013,Overseas,0
Moises Henriques,All-Rounder,1,Sunrisers Hyderabad,2014,Overseas,1
Moises Henriques,All-Rounder,1,Kings XI Punjab,2019,Overseas,0
Moises Henriques,All-Rounder,4.2,Punjab Kings,2021,Overseas,0
Monu Singh,Bowler,0.2,Chennai Super Kings,2018,Indian,1
Morne Morkel,Bowler,2.8,Kolkata Knight Riders,2014,Overseas,1
Mujeeb Zadran,Bowler,4,Kings XI Punjab,2018,Overseas,1
Mujeeb Zadran,Bowler,1.5,Sunrisers Hyderabad,2021,Overseas,0
Mukesh Choudhary,Bowler,0.2,Chennai Super Kings,2022,Indian,1
Munaf Patel,Bowler,0.3,Gujarat Lions,2017,Indian,0
Murali Kartik,Bowler,1,Kings XI Punjab,2014,Indian,1
Murali Vijay,Batsman,5,Delhi Daredevils,2014,Indian,1
Murali Vijay,Batsman,3,Kings XI Punjab,2015,Indian,0
Murali Vijay,Batsman,2,Chennai Super Kings,2018,Indian,1
Murugan Ashwin,Bowler,1.6,Mumbai Indians,2022,Indian,1
Mustafizur Rahman,Bowler,1.4,Sunrisers Hyderabad,2016,Overseas,0
Mustafizur Rahman,Bowler,2.2,Mumbai Indians,2018,Overseas,1
Mustafizur Rahman,Bowler,1,Rajasthan Royals,2021,Overseas,0
Mustafizur Rahman,Bowler,2,Delhi Capitals,2022,Overseas,1
Muttiah Muralitharan,Bowler,1,Royal Challengers Bangalore,2014,Overseas,1
N Jagadeesan,Wicket Keeper,0.2,Chennai Super Kings,2018,Indian,1
N. Jagadeesan,Wicket Keeper,0.2,Chennai Super Kings,2022,Indian,1
N. Tilak Varma,All-Rounder,1.7,Mumbai Indians,2022,Indian,1
Naman Ojha,Wicket Keeper,0.5,Sunrisers Hyderabad,2014,Indian,1
Naman Ojha,Wicket Keeper,1.4,Delhi Daredevils,2018,Indian,1
Nathan Coulter-Nile,Bowler,3.375,Mumbai Indians,2013,Overseas,0
Nathan Coulter-Nile,Bowler,4.25,Delhi Daredevils,2014,Overseas,1
Nathan Coulter-Nile,Bowler,3.5,Kolkata Knight Riders,2017,Overseas,0
Nathan Coulter-Nile,Bowler,2.2,Royal Challengers Bangalore,2018,Overseas,1
Nathan Coulter-Nile,Bowler,8,Mumbai Indians,2020,Overseas,0
Nathan Coulter-Nile,Bowler,5,Mumbai Indians,2021,Overseas,0
Nathan Coulter-Nile,Bowler,2,Rajasthan Royals,2022,Overseas,1
Nathan Ellis,Bowler,0.75,Punjab Kings,2022,Overseas,1
Nathan McCullum,Bowler,0.75,Sunrisers Hyderabad,2013,Overseas,0
Nathu Singh,Bowler,3.2,Mumbai Indians,2016,Indian,0
Nathu Singh,Bowler,0.5,Gujarat Lions,2017,Indian,0
Nathu Singh,Bowler,0.2,Delhi Capitals,2019,Indian,0
Navdeep Saini,Bowler,0.1,Delhi Daredevils,2017,Indian,0
Navdeep Saini,Bowler,3,Royal Challengers Bangalore,2018,Indian,1
Navdeep Saini,Bowler,2.6,Rajasthan Royals,2022,Indian,1
Nic Maddinson,Batsman,0.5,Royal Challengers Bangalore,2014,Overseas,1
Nicolas Pooran,Wicket Keeper,10.75,Sunrisers Hyderabad,2022,Overseas,1
Nicolas Pooran,Wicket Keeper,0.3,Mumbai Indians,2017,Overseas,0
Nicolas Pooran,Wicket Keeper,4.2,Kings XI Punjab,2019,Overseas,0
Nidheesh M D Dinesan,Bowler,0.2,Mumbai Indians,2018,Indian,1
Nikhil Shankar Naik,Wicket Keeper,0.3,Kings XI Punjab,2015,Indian,0
Nikhil Shankar Naik,Wicket Keeper,0.2,Kolkata Knight Riders,2019,Indian,0
Nikhil Shankar Naik,Wicket Keeper,0.2,Kolkata Knight Riders,2020,Indian,0
Nitish Rana,All-Rounder,0.1,Mumbai Indians,2015,Indian,0
Nitish Rana,All-Rounder,3.4,Kolkata Knight Riders,2018,Indian,1
Nitish Rana,All-Rounder,8,Kolkata Knight Riders,2022,Indian,1
Noor Ahmad,Bowler,0.3,Gujarat Titans,2022,Overseas,1
Obed Mccoy,Bowler,0.75,Rajasthan Royals,2022,Overseas,1
Odean Smith,All-Rounder,6,Punjab Kings,2022,Overseas,1
Oshane Thomas,Bowler,1.1,Rajasthan Royals,2019,Overseas,0
Oshane Thomas,Bowler,0.5,Rajasthan Royals,2020,Overseas,0
Pankaj Jaswal,All-Rounder,0.2,Mumbai Indians,2019,Overseas,0
Pankaj Singh,Bowler,1.125,Royal Challengers Bangalore,2013,Indian,0
Paras Dogra,Batsman,0.1,Gujarat Lions,2016,Indian,0
Pardeep Sahu,All-Rounder,0.1,Rajasthan Royals,2015,Indian,0
Pardeep Sahu,All-Rounder,0.1,Kings XI Punjab,2016,Indian,0
Pardeep Sahu,Bowler,0.2,Kings XI Punjab,2018,Indian,1
Parthiv Patel,Wicket Keeper,1.4,Royal Challengers Bangalore,2014,Indian,1
Parthiv Patel,Wicket Keeper,1.7,Royal Challengers Bangalore,2018,Indian,1
Parveez Rasool,All-Rounder,0.95,Sunrisers Hyderabad,2014,Indian,1
Parvinder Awana,Bowler,0.65,Kings XI Punjab,2014,Indian,1
Pat Cummins,Bowler,5.4,Mumbai Indians,2018,Overseas,1
Pat Cummins,All-Rounder,15.5,Kolkata Knight Riders,2020,Overseas,0
Pat Cummins,All-Rounder,7.25,Kolkata Knight Riders,2022,Overseas,1
Pat Cummins,Bowler,1,Kolkata Knight Riders,2014,Overseas,1
Pat Cummins,Bowler,4.5,Delhi Daredevils,2017,Overseas,0
Pavan Deshpande,All-Rounder,0.2,Royal Challengers Bangalore,2018,Indian,1
Pavan Deshpande,All-Rounder,0.2,Royal Challengers Bangalore,2020,Indian,0
Pawan Negi,Bowler,0.1,Chennai Super Kings,2014,Indian,1
Pawan Negi,All-Rounder,8.5,Delhi Daredevils,2016,Indian,0
Pawan Negi,All-Rounder,1,Royal Challengers Bangalore,2017,Indian,0
Pawan Negi,All-Rounder,1,Royal Challengers Bangalore,2018,Indian,1
Pawan Negi,All-Rounder,0.5,Kolkata Knight Riders,2021,Indian,0
Pawan Suyal,Bowler,0.1,Mumbai Indians,2014,Indian,1
Pawan Suyal,Bowler,0.1,Delhi Daredevils,2016,Indian,0
Peter Handscomb,Wicket Keeper,0.3,Rising Pune Supergiant,2016,Overseas,0
Philip Hughes,Batsman,0.75,Mumbai Indians,2013,Overseas,0
Piyush Chawla,Bowler,4.25,Kolkata Knight Riders,2014,Indian,1
Piyush Chawla,Bowler,4.2,Kolkata Knight Riders,2018,Indian,1
Piyush Chawla,Bowler,6.75,Chennai Super Kings,2020,Indian,0
Piyush Chawla,Bowler,2.4,Mumbai Indians,2021,Indian,0
Prabhsimran Singh,Wicket Keeper,4.8,Kings XI Punjab,2019,Indian,0
Prabhsimran Singh,Wicket Keeper,0.55,Kings XI Punjab,2020,Indian,0
Prabhsimran Singh,Wicket Keeper,0.6,Punjab Kings,2022,Indian,1
Pradeep Sangwan,All-Rounder,0.2,Gujarat Lions,2016,Indian,0
Pradeep Sangwan,Bowler,1.5,Mumbai Indians,2018,Indian,1
Pradeep Sangwan,All-Rounder,0.2,Gujarat Titans,2022,Indian,1
Pragyan Ojha,Bowler,3.25,Mumbai Indians,2014,Indian,1
Pragyan Ojha,Bowler,0.5,Mumbai Indians,2015,Indian,0
Prasanth Padmanabhan,All-Rounder,0.1,Sunrisers Hyderabad,2015,Indian,0
Prasanth Parameswaran,Bowler,0.3,Sunrisers Hyderabad,2014,Indian,1
Prashant Chopra,Wicket Keeper,0.2,Rajasthan Royals,2018,Indian,1
Prashant Solanki,Bowler,1.2,Chennai Super Kings,2022,Indian,1
Prasidh Krishna,Bowler,10,Rajasthan Royals,2022,Indian,1
Pratham Singh,All-Rounder,0.1,Gujarat Lions,2017,Indian,0
Pratham Singh,Batsman,0.2,Kolkata Knight Riders,2022,Indian,1
Pratyush Singh,All-Rounder,0.1,Chennai Super Kings,2015,Indian,0
Pratyush Singh,All-Rounder,0.1,Delhi Daredevils,2016,Indian,0
Praveen Dubey,All-Rounder,0.35,Royal Challengers Bangalore,2016,Indian,0
Praveen Dubey,All-Rounder,0.1,Royal Challengers Bangalore,2017,Indian,0
Praveen Kumar,Bowler,2.2,Sunrisers Hyderabad,2015,Indian,0
Praveen Kumar,Bowler,3.5,Gujarat Lions,2016,Indian,0
Pravin Dubey,All-Rounder,0.5,Delhi Capitals,2022,Indian,1
Pravin Tambe,Bowler,0.1,Rajasthan Royals,2014,Indian,1
Pravin Tambe,Bowler,0.2,Gujarat Lions,2016,Indian,0
Pravin Tambe,Bowler,0.1,Sunrisers Hyderabad,2017,Indian,0
Pravin Tambe,Bowler,0.2,Kolkata Knight Riders,2020,Indian,0
Prayas Ray Barman,All-Rounder,1.5,Royal Challengers Bangalore,2019,Indian,0
Prerak Mankad,All-Rounder,0.2,Punjab Kings,2022,Indian,1
Prince Balwant Rai Singh,All-Rounder,0.2,Mumbai Indians,2020,Indian,0
Prithvi Raj Yarra,Bowler,0.2,Kolkata Knight Riders,2019,Indian,0
Prithvi Shaw,Batsman,1.2,Delhi Daredevils,2018,Indian,1
Priyam Garg,Batsman,1.9,Sunrisers Hyderabad,2020,Indian,0
Priyam Garg,Batsman,0.2,Sunrisers Hyderabad,2022,Indian,1
Quinton De Kock,Wicket Keeper,0.15,Sunrisers Hyderabad,2013,Overseas,0
Quinton De Kock,Wicket Keeper,3.5,Delhi Daredevils,2014,Overseas,1
Quinton De Kock,Wicket Keeper,2.8,Royal Challengers Bangalore,2018,Overseas,1
Quinton De Kock,Wicket Keeper,6.75,Lucknow Super Giants,2022,Overseas,1
R Samarth,Batsman,0.2,Sunrisers Hyderabad,2022,Indian,1
R. Ashwin,All-Rounder,5,Rajasthan Royals,2022,Indian,1
R. Sai Kishore,Bowler,0.2,Chennai Super Kings,2020,Indian,0
R. Sai Kishore,Bowler,3,Gujarat Titans,2022,Indian,1
R. Sanjay Yadav,All-Rounder,0.1,Kolkata Knight Riders,2017,Indian,0
Rahul Ajay Tripathi,All-Rounder,0.1,Rising Pune Supergiant,2017,Indian,0
Rahul Buddhi,Batsman,0.2,Mumbai Indians,2022,Indian,1
Rahul Chahar,Bowler,0.1,Rising Pune Supergiant,2017,Indian,0
Rahul Chahar,Bowler,1.9,Mumbai Indians,2018,Indian,1
Rahul Chahar,Bowler,5.25,Punjab Kings,2022,Indian,1
Rahul Sharma,Bowler,1.9,Delhi Daredevils,2014,Indian,1
Rahul Sharma,Bowler,0.3,Chennai Super Kings,2015,Indian,0
Rahul Shukla,Bowler,0.4,Delhi Daredevils,2014,Indian,1
Rahul Tewatia,All-Rounder,0.1,Rajasthan Royals,2014,Indian,1
Rahul Tewatia,All-Rounder,0.25,Kings XI Punjab,2017,Indian,0
Rahul Tewatia,All-Rounder,3,Delhi Daredevils,2018,Indian,1
Rahul Tewatia,All-Rounder,9,Gujarat Titans,2022,Indian,1
Rahul Tripathi,Batsman,3.4,Rajasthan Royals,2018,Indian,1
Rahul Tripathi,Batsman,0.6,Kolkata Knight Riders,2020,Indian,0
Rahul Tripathi,Batsman,8.5,Sunrisers Hyderabad,2022,Indian,1
Raj Angad Bawa,All-Rounder,2,Punjab Kings,2022,Indian,1
Rajagopal Sathish,All-Rounder,0.2,Kolkata Knight Riders,2016,Indian,0
